order_id,customer_id,order_date,amount,channel
O00112,C0806,2025-04-23,678.0,Store
O00113,C0203,2025-06-27,1952.0,Online
O00114,C0183,2025-04-29,389.0,Store
O00115,C0454,2025-05-26,,Online
O00116,C0724,2025-04-23,454.0,Store
O00117,C0598,2025-01-10,4896.0,Online
O00118,C0170,,360.0,Store
O00119,C0226,2025-04-07,4829.0,Online
O00120,C0865,2024-12-25,3351.0,Store
O00121,C0279,2025-11-01,4865.0,Online
O00122,C0813,,,Store
O00123,C0975,2025-05-06,4947.0,Online
O00124,C0164,2025-03-29,2137.0,
O00125,C0074,2025-10-28,3827.0,Online
O00126,C0229,2025-01-21,4160.0,Online
O00127,,2025-02-08,2805.0,Store
O00128,C0915,2025-11-12,4470.0,Online
O00129,C0784,,3213.0,Online
O00130,C0644,2024-11-21,2891.0,Online
O00131,C0673,2025-04-29,207.0,Online
O00132,C0396,2025-10-27,4238.0,Online
O00133,C0134,,2877.0,Store
O00134,,2025-06-23,1984.0,Store
O00135,C0735,,305.0,Store
O00136,C0206,,4037.0,Online
O00137,C0061,2025-06-29,2531.0,Store
O00138,C0510,2025-08-15,,Store
O00139,C0829,2025-04-15,4867.0,Store
O00140,C0452,2025-10-07,445.0,Store
O00141,C0355,2025-03-14,4673.0,Store
O00142,C0269,2025-05-02,442.0,Online
O00143,C0581,2025-07-29,3468.0,Store
O00144,C0798,2025-05-05,4266.0,Store
O00145,C0153,2025-07-11,1595.0,Store
O00146,C0251,,4634.0,Online
O00147,C0209,2025-11-01,4672.0,Store
O00148,,2024-12-09,1989.0,
O00149,C0270,,852.0,Store
O00150,C0564,2024-11-21,4548.0,Store
O00151,C0278,,1722.0,Online
O00152,C0835,2025-09-24,1892.0,Store
O00153,C0766,2025-06-19,1149.0,Online
O00154,C0206,2025-07-12,3939.0,Online
,C0833,2025-01-23,2252.0,Store
O00156,C0130,2025-02-11,3613.0,Store
O00157,C0549,2025-08-17,3376.0,Store
O00158,C0027,,4823.0,Online
O00159,C0097,2025-04-07,1750.0,Store
O00160,C0849,2025-06-22,4240.0,Store
O00161,C0626,2025-02-01,1029.0,Online
O00162,C0589,2025-01-14,2060.0,Store
O00163,C0239,2025-08-19,2062.0,
,C0763,2025-04-29,937.0,Online
O00165,C0932,2025-05-19,1190.0,Store
O00166,C0612,2025-06-08,4825.0,Store
O00167,,2025-10-17,596.0,Store
O00168,C0857,2025-10-27,405.0,Online
O00169,C0093,2025-08-03,3980.0,Online
O00170,C0765,2025-01-11,2146.0,Store
O00171,C0704,2024-11-23,3101.0,Store
O00172,C0625,2025-02-01,1541.0,Online
O00173,C0239,2025-06-11,925.0,Store
O00174,C0104,2024-12-28,4707.0,Store
O00175,C0961,2025-08-30,212.0,Online
O00176,C0346,2025-03-23,3344.0,Store
O00177,C0499,2025-05-30,1706.0,
O00178,C0178,2025-06-10,4465.0,Online
O00179,C0886,2025-05-29,494.0,Online
O00180,C0518,2025-05-09,4121.0,Online
O00181,C0094,2025-10-06,4621.0,Store
O00182,,2025-03-06,1852.0,
O00183,C0900,,3688.0,Online
O00184,C0098,,4698.0,Store
O00185,C0886,2025-05-25,603.0,Store
O00186,C0160,2025-07-17,4863.0,
O00187,C0610,2024-11-25,1943.0,Online
O00188,C0527,,1877.0,Online
O00189,C0972,2025-02-20,181.0,Store
O00190,C0029,2024-11-26,4978.0,Online
O00191,C0090,2025-01-21,4617.0,Online
O00192,C0973,2025-02-17,1516.0,Online
O00193,C0969,2025-08-11,4170.0,Online
O00194,C0007,2025-08-14,129.0,Online
O00195,C0113,2025-04-12,274.0,Store
O00196,C0080,2025-01-22,636.0,Store
O00197,C0587,2025-03-05,632.0,Store
O00198,C0131,,141.0,
O00199,C0729,2024-12-01,3758.0,Online
O00200,C0092,2025-03-16,2834.0,Online
O00201,C0146,2025-10-27,1484.0,Online
,C0311,,3669.0,Store
O00203,C0823,2025-09-04,4437.0,Store
O00204,,2024-11-19,2909.0,Store
O00205,C0610,,3121.0,Store
O00206,C0982,2024-12-17,2998.0,Online
O00207,C0999,2025-07-08,426.0,Online
O00208,C0835,2025-01-16,4031.0,
O00209,C0894,2025-10-15,2626.0,Store
O00210,C0473,2025-04-08,4537.0,Online
O00211,C0617,2025-10-31,3406.0,Online
O00212,C0509,,1750.0,Online
O00213,C0666,2025-07-03,1462.0,Store
O00214,C0023,2025-04-11,1275.0,Store
O00215,C0246,2025-09-30,1678.0,Online
O00216,C0685,2025-06-20,1942.0,Store
O00217,C0714,2025-08-19,1770.0,Store
,C0604,2025-06-17,2460.0,Store
O00219,C0550,2025-07-03,3381.0,Store
O00220,C0312,2025-04-04,3419.0,Online
O00221,C0432,2025-03-13,4152.0,Online
O00222,C0721,2025-11-14,3735.0,Online
,C0071,2024-12-03,305.0,Store
,C0400,2025-07-12,4782.0,Online
O00225,C0514,2025-09-21,4297.0,Store
,C0215,2025-02-05,2186.0,
O00227,C0413,2024-11-23,4744.0,Online
O00228,C0586,2024-12-11,4039.0,Store
O00229,C0089,2025-06-15,3957.0,
,C0831,2025-09-13,1636.0,Online
O00231,C0519,2025-02-17,4742.0,Store
O00232,C0007,2025-08-19,925.0,Online
O00233,C0813,2025-03-28,,Online
O00234,C0801,2025-09-12,100.0,Online
O00235,C0369,2024-12-22,2422.0,Online
O00236,C0400,2025-02-06,3703.0,
O00237,C0039,2024-12-30,2146.0,Store
O00238,C0450,2025-06-24,3428.0,Store
O00239,C0289,2025-09-18,1092.0,Store
O00240,C0511,2025-11-01,3596.0,Store
O00241,C0527,2025-07-01,3072.0,Online
O00242,C0244,2025-01-16,2153.0,Online
O00243,C0985,2024-12-05,,Store
O00244,C0213,2025-03-10,236.0,Online
O00245,C0360,2025-08-01,1115.0,Store
O00246,C0424,,2352.0,Online
,C0893,2025-06-29,2811.0,Online
O00248,C0306,2025-11-05,4155.0,Store
O00249,C0889,2025-05-11,2447.0,Online
O00250,C0332,2025-07-30,4031.0,
O00251,C0871,2025-03-14,991.0,Online
,C0234,2025-03-28,3150.0,Store
O00253,C0836,2024-11-22,2277.0,
O00254,C0697,2024-11-19,1558.0,Online
O00255,C0729,2025-05-18,1822.0,Store
O00256,C0236,2025-03-09,4235.0,
O00257,C0900,2025-04-12,1756.0,Store
O00258,C0613,2025-05-10,2705.0,Online
O00259,C0124,2025-10-01,2415.0,Online
O00260,C0318,2025-10-11,2963.0,Store
O00261,C0450,,3723.0,Online
O00262,C0063,2025-04-26,2932.0,Store
O00263,C0031,2025-06-12,3826.0,Store
O00264,C0468,2024-12-20,3659.0,Online
O00265,,2025-09-12,,Store
O00266,C0753,2025-09-23,4147.0,Online
O00267,C0317,2025-05-16,1957.0,Store
O00268,C0878,2025-10-02,1412.0,Store
O00269,C0048,2025-02-07,4664.0,Online
O00270,C0241,2025-01-12,419.0,Online
,C0396,2025-05-08,2556.0,Store
O00272,C0942,2025-11-08,2014.0,Online
O00273,C0819,2025-03-12,3133.0,Online
O00274,C0223,2025-02-12,919.0,Store
O00275,C0860,2025-01-05,4513.0,Online
O00276,C0962,2025-03-04,744.0,Online
O00277,C0812,,967.0,Online
O00278,C0997,2025-09-28,2575.0,Store
O00279,C0279,2025-11-02,3792.0,
O00280,C0021,2024-11-27,2251.0,Store
O00281,C0196,2025-01-04,4784.0,Store
O00282,C0535,2025-07-01,3566.0,Store
O00283,C0499,2025-04-08,2756.0,Store
O00284,,2025-04-05,253.0,Store
O00285,C0252,2024-12-01,2060.0,Store
O00286,C0243,2025-08-21,493.0,Store
O00287,C0770,2025-11-10,109.0,Online
O00288,C0589,2025-07-12,1514.0,Online
O00289,C0952,2025-05-05,3748.0,Store
O00290,C0917,2025-07-08,904.0,Store
O00291,C0969,2025-11-08,1639.0,Store
O00292,C0747,2025-09-10,156.0,Store
O00293,C0091,2025-07-16,1525.0,Online
O00294,C0612,2025-09-18,3889.0,Store
O00295,,2025-11-01,2914.0,Store
,C0307,2025-11-04,1010.0,Online
O00297,C0761,2025-07-19,2274.0,Store
O00298,C0885,2025-05-16,3316.0,Online
O00299,C0943,2025-07-05,2424.0,Store
O00300,C0372,2025-02-22,943.0,Online
O00301,C0327,2025-05-27,1213.0,Online
O00302,C0153,2025-01-18,3500.0,Online
O00303,C0381,2025-06-18,4191.0,Store
O00304,C0622,2025-11-16,1531.0,Online
O00305,C0934,2025-02-16,1019.0,Online
O00306,C0069,2025-09-17,2330.0,Online
O00307,C0668,2025-05-17,1570.0,Store
O00308,C0841,,4769.0,Store
O00309,C0674,2025-03-19,4846.0,Store
O00310,,2024-12-10,1477.0,Online
O00311,C0803,2025-03-26,,Store
O00312,C0179,2025-01-12,1077.0,Online
O00313,C0980,2025-06-10,1656.0,Online
O00314,C0954,2025-01-20,4814.0,Store
O00315,C0027,2025-07-14,1587.0,Online
O00316,C0862,2025-10-24,2031.0,Store
O00317,C0689,2025-03-10,3451.0,Online
O00318,,2024-11-19,2033.0,
O00319,C0126,2025-11-11,3905.0,
O00320,C0635,2025-04-07,1235.0,
O00321,C0511,2025-08-31,248.0,Online
O00322,C0961,2025-01-15,3628.0,Store
O00323,C0676,2025-06-25,265.0,Store
O00324,C0146,2025-05-22,3436.0,Online
O00325,C0570,2025-09-27,4650.0,Store
O00326,C0316,2025-03-16,220.0,Store
O00327,C0428,2025-04-26,912.0,Store
,C0484,2025-04-25,4632.0,Online
O00329,,2025-01-05,2274.0,Store
O00330,C0208,,1795.0,Online
O00331,C0908,2024-12-22,2274.0,Store
O00332,C0225,2025-11-03,4717.0,Online
O00333,C0667,2025-09-23,2229.0,Online
O00334,C0457,2024-12-20,,Store
O00335,C0024,2024-11-26,4303.0,Online
O00336,C0459,2025-06-26,375.0,Store
O00337,C0132,2025-03-03,2756.0,Online
O00338,C0036,2025-10-03,4377.0,Store
O00339,,2025-05-09,3302.0,Store
O00340,C0024,2025-05-14,1970.0,Store
O00341,C0347,2024-11-27,3636.0,Store
O00342,C0040,2025-01-10,829.0,Store
O00343,C0097,2025-05-09,201.0,Online
O00344,C0368,2025-01-28,4444.0,Online
,C0090,2025-05-07,4255.0,Store
O00346,C0019,2025-01-24,4057.0,Online
O00347,C0515,2024-11-21,4727.0,Store
O00348,C0911,2025-11-10,2261.0,Online
O00349,C0225,2025-03-06,1355.0,Store
O00350,C0265,,3026.0,Online
O00351,C0492,2025-06-10,4733.0,Online
O00352,C0964,2025-11-14,1849.0,Store
O00353,C0122,,4204.0,Store
O00354,C0806,2025-08-22,,Store
O00355,C0782,2025-09-28,4365.0,Store
O00356,C0651,2025-05-11,120.0,Store
O00357,,,4052.0,
O00358,C0385,,865.0,Online
O00359,C0300,2025-10-11,4896.0,Online
O00360,C0650,2024-11-18,1418.0,Store
O00361,C0739,2025-09-09,814.0,Store
O00362,C0146,2025-03-14,2341.0,Online
,C0687,,3271.0,Store
O00364,C0035,2025-05-17,3377.0,Store
O00365,C0666,2024-12-06,4724.0,Online
O00366,C0156,2024-12-11,3909.0,Online
O00367,C0512,2025-08-12,4505.0,Online
O00368,C0258,2025-07-30,4265.0,Store
O00369,C0332,2025-10-31,4142.0,Online
O00370,C0613,2025-05-27,,Online
O00371,C0327,2025-09-20,1652.0,Online
O00372,,2025-01-18,931.0,Online
O00373,C0681,2025-01-04,2460.0,Online
O00374,C0444,2025-11-09,340.0,Store
O00375,C0127,2025-02-02,3830.0,Online
O00376,C0671,2025-10-07,2088.0,Online
O00377,C0140,2025-05-24,3288.0,Online
O00378,C0004,2025-02-10,1783.0,Store
O00379,C0937,2025-01-13,655.0,Online
O00380,C0506,2025-06-28,1490.0,Store
O00381,C0491,2025-10-22,3392.0,Store
,C0526,2024-12-11,4833.0,Store
O00383,C0642,2025-02-19,,Store
O00384,C0582,2025-04-23,2420.0,Store
O00385,C0869,2025-04-25,1328.0,Online
O00386,C0532,2025-09-09,1465.0,Online
O00387,C0404,2025-05-27,3106.0,Store
O00388,C0844,2024-12-22,,Store
O00389,C0568,2025-01-04,4939.0,Store
O00390,C0128,2025-07-23,629.0,Online
O00391,C0729,2025-11-04,2774.0,
O00392,C0492,2025-05-17,4836.0,Store
O00393,C0754,2025-05-25,4961.0,Store
O00394,C0272,2025-06-18,399.0,Online
O00395,C0403,2024-12-06,4016.0,Store
O00396,C0027,2025-10-17,4762.0,Store
O00397,C0824,2025-02-05,1273.0,Online
O00398,C0678,2025-08-25,3369.0,Store
O00399,C0323,2025-11-06,2696.0,Online
O00400,C0817,2025-11-11,924.0,Online
O00401,C0400,2025-10-01,1761.0,Online
O00402,C0776,2025-07-25,4457.0,Online
O00403,C0089,2024-12-20,956.0,Store
O00404,C0789,2025-09-11,4901.0,Store
O00405,C0064,2025-10-25,149.0,Online
O00406,C0491,2025-08-10,870.0,Online
O00407,C0125,2025-09-20,4292.0,Online
O00408,C0584,2025-02-14,4846.0,Online
O00409,C0889,2025-04-14,,Store
O00410,C0925,2025-07-08,1338.0,Store
O00411,C0195,2025-08-28,532.0,Online
O00412,C0892,2025-10-22,4073.0,
O00413,C0517,2025-05-08,367.0,Store
O00414,C0365,2025-10-14,408.0,Store
O00415,C0474,2025-11-09,2060.0,Store
O00416,C0020,2024-11-21,2596.0,Online
O00417,C0770,2025-07-16,1609.0,Online
O00418,C0170,2024-12-08,783.0,Store
O00419,C0831,2025-03-21,4923.0,Store
O00420,C0260,2025-11-11,395.0,Store
O00421,C0777,2025-06-23,1473.0,Online
O00422,C0113,2025-09-08,,Online
O00423,C0585,2024-12-22,3909.0,Store
O00424,C0728,2025-04-13,375.0,Online
O00425,C0598,2025-07-23,941.0,Online
O00426,C0757,2025-09-14,3626.0,Online
O00427,C0916,2025-01-03,4359.0,Store
O00428,C0417,2024-12-22,2499.0,Online
O00429,C0275,2025-01-26,1026.0,Online
O00430,C0959,2025-09-03,4241.0,Online
O00431,C0679,2025-04-14,2951.0,Store
O00432,C0379,2025-10-08,3276.0,Online
O00433,C0460,2025-07-04,1975.0,Store
O00434,C0917,2025-03-09,2370.0,Store
O00435,C0856,2025-04-01,3061.0,Online
O00436,C0379,2025-09-07,2503.0,Online
O00437,C0789,,4877.0,Store
O00438,C0654,2025-01-23,1142.0,Online
O00439,C0330,2025-02-27,3640.0,Store
O00440,C0710,2025-08-24,4748.0,Online
O00441,C0186,2025-03-29,3578.0,Online
O00442,C0783,2025-06-04,4670.0,Online
O00443,C0382,2025-10-17,195.0,Store
O00444,C0686,2024-12-29,4840.0,Online
O00445,,2025-02-15,267.0,Online
O00446,C0413,2025-11-08,1392.0,Online
O00447,C0189,2025-09-07,4108.0,Store
O00448,C0926,2025-04-26,4423.0,Store
O00449,C0866,2025-10-05,3325.0,Online
,C0393,2025-09-25,597.0,Online
O00451,C0945,,3125.0,Online
O00452,C0190,2025-02-21,4437.0,Store
,C0558,2024-12-29,3555.0,Store
O00454,C0662,2025-02-05,4787.0,Online
O00455,C0386,2025-09-10,841.0,Store
O00456,C0545,,361.0,Store
O00457,C0096,2025-01-24,3842.0,Store
O00458,C0380,2025-10-06,239.0,Online
O00459,,2025-07-19,3067.0,Store
O00460,C0032,2025-08-28,3345.0,Online
O00461,C0858,2025-11-14,3786.0,Online
O00462,C0117,2025-02-08,4308.0,Online
O00463,C0734,2025-09-27,4856.0,Store
O00464,C0947,2025-02-17,159.0,Online
O00465,C0625,2025-11-01,2448.0,Store
O00466,C0269,2025-05-30,2376.0,Store
O00467,C0618,2025-01-20,2464.0,Store
O00468,C0972,,3293.0,Online
O00469,C0420,2025-10-17,2777.0,Store
O00470,C0675,2025-11-04,2981.0,Online
O00471,C0663,2025-06-27,3948.0,
,C0969,2024-12-03,2119.0,Store
O00473,,2025-02-10,2732.0,Online
O00474,C0820,2025-08-18,1205.0,Online
O00475,C0210,2025-10-04,3649.0,Online
O00476,C0077,2024-12-22,3546.0,Store
O00477,C0721,2025-01-29,3874.0,Store
O00478,C0684,2025-01-11,3907.0,Store
O00479,C0768,,529.0,Store
O00480,C0311,2024-11-23,2600.0,Store
O00481,C0602,2025-02-18,3814.0,Store
O00482,C0353,2025-01-25,363.0,Online
O00483,C0779,2025-02-13,3828.0,Store
O00484,C0501,2025-03-28,3340.0,Store
O00485,C0435,2025-04-03,4920.0,Online
O00486,C0818,2025-10-07,1490.0,Store
O00487,C0276,,4250.0,Store
O00488,C0825,2025-06-27,2272.0,Online
O00489,C0687,2025-08-24,848.0,Online
O00490,C0839,2025-06-29,4055.0,Store
O00491,C0873,2025-08-02,4482.0,Online
O00492,C0395,2025-03-10,3010.0,Online
O00493,C0800,2025-08-21,1097.0,Store
O00494,C0513,2024-12-04,2933.0,Online
O00495,C0626,2025-01-01,,Online
O00496,,2025-01-23,2682.0,Store
O00497,C0684,2025-06-25,1938.0,Online
O00498,C0734,2025-01-10,3645.0,Store
O00499,C0324,2025-04-27,1558.0,Online
O00500,C0099,2025-02-10,1770.0,Online
O00501,C0845,2025-04-02,3695.0,Store
O00502,C0738,2025-01-19,4394.0,Online
O00503,C0509,2025-07-29,4148.0,Online
O00504,C0176,2025-08-20,4566.0,Store
,C0748,2024-12-03,2691.0,Online
O00506,C0425,2025-08-12,2756.0,Online
,C0729,2025-07-27,3658.0,Store
O00508,C0737,2025-05-06,238.0,Store
O00509,C0052,2025-05-13,4412.0,Store
,C0045,2025-10-21,566.0,Store
O00511,C0329,2025-07-14,821.0,Online
O00512,C0943,2024-12-10,2064.0,
O00513,C0161,,2185.0,Store
O00514,C0130,2024-12-05,3425.0,Store
O00515,C0018,2025-11-04,545.0,Store
O00516,C0920,2025-06-24,3848.0,Store
O00517,,2024-11-21,3119.0,Online
O00518,C0102,2025-04-24,,Online
O00519,C0519,2024-12-31,4138.0,Store
O00520,C0232,2025-05-22,2124.0,Online
O00521,C0437,2025-06-19,2096.0,Store
O00522,,2025-06-15,3952.0,Online
O00523,C0926,2025-03-21,1899.0,Online
O00524,C0427,2025-04-28,1292.0,Online
O00525,C0934,2025-06-03,4925.0,Online
O00526,C0729,2025-09-27,2655.0,Online
O00527,C0643,2025-01-30,1501.0,Store
O00528,C0120,2025-04-17,368.0,Store
O00529,C0021,2025-06-20,2800.0,Store
O00530,C0069,2025-03-06,974.0,Store
O00531,C0083,2025-01-03,1176.0,Online
O00532,,2025-03-27,3561.0,
O00533,C0127,2025-01-15,3748.0,Online
O00534,C0722,2025-10-03,4124.0,Online
O00535,C0959,2025-05-23,3754.0,Store
,C0407,2024-11-27,1345.0,Online
O00537,C0242,2025-10-10,3543.0,Online
O00538,C0778,2025-06-26,236.0,Online
O00539,C0667,2025-09-01,243.0,Online
O00540,C0448,2024-12-09,1975.0,Store
O00541,C0028,2025-09-27,3102.0,Store
O00542,C0795,2024-11-19,2428.0,Store
O00543,C0744,2025-10-19,788.0,Online
,C0935,2025-02-11,298.0,Store
O00545,,2024-12-12,159.0,Store
O00546,C0806,2025-10-14,2914.0,Store
O00547,C0979,2025-02-14,1436.0,
O00548,C0539,2024-12-03,4662.0,Store
O00549,C0938,2025-10-25,1169.0,Store
O00550,C0630,2025-11-02,3772.0,Store
O00551,C0685,2025-03-10,4373.0,Store
O00552,,2025-05-13,2931.0,Online
O00553,C0953,2025-01-17,637.0,Store
O00554,C0217,,4938.0,Online
O00555,C0179,2025-09-29,4422.0,Store
O00556,C0618,2025-08-15,2773.0,Store
O00557,C0555,2025-01-19,2712.0,Store
O00558,C0876,2025-01-20,160.0,Store
O00559,C0334,2025-01-31,209.0,Online
O00560,C0005,2025-10-28,1901.0,Online
O00561,C0899,2025-06-23,192.0,Online
O00562,C0588,2025-11-03,3200.0,Store
O00563,C0275,2025-05-05,4824.0,Online
O00564,,2025-09-30,199.0,Store
O00565,C0705,2025-02-09,3583.0,Online
O00566,C0650,2025-06-02,1618.0,Online
O00567,C0577,2025-04-22,2361.0,Online
O00568,C0303,2025-04-08,4889.0,Online
O00569,C0497,,2273.0,Online
O00570,C0001,2025-01-14,,Online
O00571,C0498,2025-08-01,1390.0,
O00572,,2025-08-23,465.0,Online
O00573,C0783,2025-07-10,2514.0,Store
O00574,C0044,2025-02-13,1046.0,Store
O00575,C0946,2025-08-27,3450.0,Store
O00576,C0850,2025-04-14,4030.0,Store
,C0774,2025-01-22,1217.0,Store
O00578,C0700,2025-03-05,3030.0,Store
O00579,C0722,2025-05-12,2843.0,Online
O00580,C0911,2024-11-25,4614.0,Store
O00581,C0408,2025-03-05,4335.0,
O00582,C0321,2025-01-07,3044.0,Store
O00583,C0579,2025-06-11,3259.0,Online
O00584,,2025-09-01,4553.0,Store
O00585,C0415,2025-06-03,1492.0,Store
O00586,,,1360.0,Store
O00587,C0852,2025-02-24,4045.0,Online
O00588,C0161,2025-05-03,2652.0,Store
O00589,C0048,2025-09-19,3374.0,Store
O00590,C0306,,,Store
O00591,C0245,2025-03-01,2565.0,Store
O00592,C0035,2025-07-12,1880.0,Online
O00593,C0040,2025-09-23,3823.0,Online
O00594,C0520,2025-07-13,1062.0,Store
O00595,C0928,2025-04-06,2748.0,Store
O00596,C0164,2025-07-09,3511.0,Store
O00597,C0290,2025-11-10,3454.0,Online
O00598,C0023,,2079.0,Store
O00599,C0265,2025-02-04,3365.0,Online
O00600,C0956,2025-06-26,926.0,Store
O00601,C0523,,1530.0,Online
O00602,C0587,2024-12-16,1308.0,Online
O00603,C0450,2025-03-08,377.0,Online
,C0638,2025-06-01,3098.0,Online
O00605,,2024-12-29,2455.0,Online
,,2025-05-29,4634.0,Store
O00607,,2024-12-19,606.0,
O00608,C0767,2025-06-01,353.0,Online
O00609,C0836,2025-09-29,1626.0,Store
O00610,C0123,2025-03-09,4522.0,Online
O00611,C0864,2025-08-17,1441.0,Online
O00612,C0752,2025-10-29,4738.0,Online
O00613,C0769,2025-04-16,4957.0,Online
O00614,C0749,2025-07-30,2972.0,Store
O00615,C0345,2025-05-31,1272.0,Store
O00616,C0300,2025-09-30,4063.0,Online
O00617,C0154,2024-11-22,2756.0,Store
O00618,,2025-08-17,923.0,Store
O00619,C0330,2025-04-30,4350.0,Online
O00620,,2024-12-07,2706.0,Online
O00621,C0892,2025-09-09,2516.0,Store
O00622,C0935,,4006.0,Store
O00623,C0220,2025-07-07,3952.0,Online
O00624,C0944,2025-04-16,2472.0,Store
O00625,C0438,2025-01-26,3571.0,Online
O00626,C0988,2024-12-22,1148.0,Online
O00627,C0101,2025-08-19,609.0,Online
O00628,C0187,,4955.0,Online
O00629,,2024-12-15,1021.0,Store
O00630,C0507,2025-03-22,2794.0,Online
O00631,C0066,2025-09-05,4248.0,Online
,C0308,2025-05-12,1278.0,Online
O00633,C0538,2025-08-16,3443.0,Store
O00634,,2025-08-16,2302.0,Store
O00635,C0345,2025-04-27,2382.0,Store
O00636,C1000,2025-01-18,3283.0,Store
O00637,C0333,2025-09-24,3602.0,Store
O00638,C0170,2025-03-18,2925.0,Online
O00639,C0227,2025-07-21,616.0,Online
O00640,C0930,2025-02-27,4886.0,Store
O00641,C0863,2025-04-06,1788.0,Store
O00642,C0152,2025-08-10,4416.0,Store
