ticket_id,customer_id,category,status,created_date
T00382,C0048,Payment,Pending,2025-11-17
T00383,C0744,Product,Closed,2025-11-17
T00384,C0677,Delivery,Pending,2025-11-17
T00385,C0657,Product,Open,2025-11-17
T00386,C0216,Account,Open,2025-11-17
T00387,C0407,Account,Pending,2025-11-17
T00388,C0859,Payment,Closed,2025-11-17
T00389,C0636,Payment,Closed,2025-11-17
T00390,C0572,Account,Pending,2025-11-17
T00391,C0559,Account,Pending,2025-11-17
T00392,C0365,Payment,Open,2025-11-17
T00393,C0559,Payment,Open,2025-11-17
T00394,C0822,Delivery,Pending,2025-11-17
T00395,C0506,Account,Open,2025-11-17
T00396,C0443,Account,Closed,2025-11-17
T00397,C0763,Payment,Closed,2025-11-17
T00398,C0842,Product,Pending,2025-11-17
T00399,C0224,Account,Open,2025-11-17
T00400,C0198,Product,Open,2025-11-17
T00401,C0087,Payment,Closed,2025-11-17
T00402,C0255,Account,Pending,2025-11-17
T00403,C0968,Payment,Closed,2025-11-17
,C0412,Account,Pending,2025-11-17
T00405,C0494,Account,Closed,2025-11-17
T00406,C0956,Product,Closed,2025-11-17
T00407,C0051,Delivery,Closed,2025-11-17
T00408,C0607,Account,Open,2025-11-17
T00409,C0847,Product,Closed,2025-11-17
T00410,C0205,Product,,2025-11-17
T00411,C0364,Delivery,Pending,2025-11-17
,C0690,Product,Closed,2025-11-17
T00413,C0318,Delivery,Open,
T00414,C0760,Account,Pending,2025-11-17
T00415,C0905,Payment,Pending,2025-11-17
T00416,C0992,Delivery,Pending,2025-11-17
T00417,C0247,Product,Closed,2025-11-17
T00418,C0019,Payment,Closed,2025-11-17
,C0312,Account,Closed,2025-11-17
T00420,,Payment,Pending,2025-11-17
T00421,C0324,Payment,Closed,2025-11-17
T00422,C0372,Payment,Open,2025-11-17
T00423,C0828,Account,Closed,2025-11-17
T00424,C0658,Account,Closed,2025-11-17
T00425,C0352,Account,Open,2025-11-17
T00426,C0467,Payment,Closed,2025-11-17
T00427,C0466,Account,Pending,2025-11-17
T00428,C0293,Account,Open,2025-11-17
T00429,C0200,Payment,Pending,2025-11-17
T00430,C0242,Product,Pending,2025-11-17
T00431,C0198,Account,Pending,
T00432,C0390,Product,Open,2025-11-17
T00433,C0972,Payment,Open,2025-11-17
T00434,C0824,Product,Closed,2025-11-17
T00435,C0398,Account,Closed,2025-11-17
T00436,C0551,Delivery,Open,2025-11-17
T00437,C0910,Account,Open,2025-11-17
T00438,C0715,Product,Closed,2025-11-17
T00439,C0749,Delivery,,2025-11-17
T00440,,Payment,Closed,2025-11-17
T00441,C0199,Delivery,Closed,2025-11-17
T00442,C0852,Payment,Closed,2025-11-17
T00443,C0543,Account,Pending,2025-11-17
T00444,C0739,Delivery,Closed,2025-11-17
T00445,C0615,Product,Pending,
T00446,C0945,Payment,Open,2025-11-17
,C0088,Product,Open,2025-11-17
T00448,C0566,Delivery,Open,2025-11-17
T00449,C0055,Account,,2025-11-17
T00450,C0774,Account,Pending,2025-11-17
T00451,C0304,Account,Pending,2025-11-17
,C0027,Delivery,Open,2025-11-17
T00453,C0303,Payment,Open,2025-11-17
T00454,,Payment,Open,2025-11-17
T00455,C0422,Product,Closed,2025-11-17
T00456,C0336,,Closed,2025-11-17
T00457,,Payment,Closed,2025-11-17
T00458,C0735,Delivery,Open,2025-11-17
T00459,C0269,Product,Pending,2025-11-17
T00460,C0245,Product,Pending,2025-11-17
T00461,C0513,Account,Open,
T00462,C0965,,Pending,2025-11-17
T00463,C0513,Product,,2025-11-17
T00464,C0160,Product,Closed,2025-11-17
T00465,C0973,,Closed,2025-11-17
,C0646,Product,Open,2025-11-17
T00467,C0603,Account,Open,2025-11-17
T00468,C0959,Payment,Closed,2025-11-17
T00469,C0154,Delivery,Open,2025-11-17
T00470,C0482,Product,Open,2025-11-17
T00471,C0105,Product,Open,2025-11-17
T00472,C0716,Account,Closed,2025-11-17
T00473,C0105,Product,Open,2025-11-17
T00474,C0423,Delivery,,2025-11-17
T00475,C0822,Payment,Pending,2025-11-17
T00476,C0909,Account,Open,2025-11-17
T00477,C0119,Product,Pending,2025-11-17
T00478,C0221,Payment,Open,2025-11-17
T00479,C0638,Account,Pending,2025-11-17
T00480,C0961,Delivery,Open,2025-11-17
T00481,C0473,Account,Pending,2025-11-17
T00482,C0002,Product,,2025-11-17
T00483,C0069,Account,Open,2025-11-17
T00484,C0579,Payment,Closed,2025-11-17
T00485,C0745,Account,Pending,2025-11-17
T00486,C0043,Payment,Closed,2025-11-17
T00487,C0070,Payment,Pending,2025-11-17
T00488,C0909,Delivery,Pending,2025-11-17
T00489,C0302,Product,Open,2025-11-17
T00490,C0791,Product,Open,2025-11-17
T00491,C0647,,,2025-11-17
T00492,C0584,Payment,Closed,2025-11-17
T00493,C0295,Account,Pending,2025-11-17
T00494,C0574,Account,Open,2025-11-17
T00495,C0809,Delivery,Open,2025-11-17
T00496,C0455,Payment,Pending,2025-11-17
T00497,C0363,,Open,2025-11-17
T00498,C0696,Account,Closed,2025-11-17
T00499,C0992,Product,Pending,2025-11-17
T00500,C0046,,Closed,2025-11-17
T00501,C0304,Account,,2025-11-17
T00502,C0474,Product,Open,2025-11-17
T00503,C0830,Account,Pending,2025-11-17
,C0650,Delivery,Pending,2025-11-17
T00505,C0072,,Closed,2025-11-17
T00506,C0517,Delivery,Closed,2025-11-17
,C0070,Delivery,,2025-11-17
,C0096,Product,Pending,2025-11-17
T00509,C0149,Account,Pending,2025-11-17
T00510,C0932,Payment,Pending,2025-11-17
T00511,C0742,Product,Closed,2025-11-17
T00512,C0035,Account,Closed,2025-11-17
T00513,C0714,Account,Closed,2025-11-17
T00514,C0953,Product,Closed,2025-11-17
T00515,,Delivery,,2025-11-17
T00516,C0888,Payment,Closed,2025-11-17
T00517,C0341,Product,Open,2025-11-17
T00518,C0940,Payment,Open,2025-11-17
T00519,C0924,Product,Closed,2025-11-17
T00520,C0280,Payment,Closed,2025-11-17
T00521,C0413,Product,Closed,2025-11-17
T00522,C0944,Delivery,Pending,2025-11-17
T00523,C0377,Product,Pending,2025-11-17
T00524,C0595,Payment,Open,2025-11-17
T00525,C0859,Account,Open,2025-11-17
T00526,C0451,Payment,Pending,2025-11-17
T00527,C0185,Account,Pending,
T00528,C0215,Delivery,Pending,2025-11-17
T00529,C0480,,Open,2025-11-17
,C0744,Payment,Open,2025-11-17
T00531,C0906,Account,Pending,2025-11-17
T00532,C0110,Delivery,Closed,2025-11-17
T00533,C0364,Product,Open,2025-11-17
T00534,C0765,Payment,Pending,2025-11-17
T00535,C0313,Payment,Open,2025-11-17
T00536,C0869,Account,Open,2025-11-17
T00537,C0089,Payment,Open,2025-11-17
T00538,C0986,Account,Open,2025-11-17
T00539,C0039,,Pending,2025-11-17
T00540,,Delivery,Closed,2025-11-17
,C0657,Payment,Pending,2025-11-17
T00542,C0809,Delivery,Pending,2025-11-17
T00543,C0298,,Closed,2025-11-17
T00544,C0240,,Pending,2025-11-17
T00545,C0813,Account,Pending,2025-11-17
T00546,C0672,Account,Open,2025-11-17
,C0131,Delivery,Pending,2025-11-17
T00548,C0436,,Open,2025-11-17
T00549,C0009,Account,Pending,2025-11-17
T00550,C0177,Product,Open,2025-11-17
T00551,C0509,Account,Open,2025-11-17
T00552,,Delivery,Closed,
T00553,C0952,Payment,Open,2025-11-17
T00554,C0500,Account,Pending,2025-11-17
T00555,C0224,Product,Pending,2025-11-17
T00556,C0640,Delivery,Open,2025-11-17
T00557,C0993,Account,Pending,2025-11-17
T00558,C0611,Delivery,Open,2025-11-17
,C0369,Delivery,Closed,2025-11-17
T00560,C0884,Payment,Pending,2025-11-17
T00561,C0406,Account,Closed,2025-11-17
T00562,C0432,Product,Open,
T00563,C0038,Product,Pending,2025-11-17
T00564,C0295,Product,Open,2025-11-17
T00565,C0332,Account,Open,2025-11-17
T00566,C0392,Account,Open,2025-11-17
T00567,,Product,Closed,2025-11-17
T00568,C0655,Product,Pending,2025-11-17
T00569,C0627,Product,Open,2025-11-17
T00570,C0696,Account,,2025-11-17
T00571,C0603,Product,Pending,2025-11-17
T00572,C0570,Delivery,Closed,2025-11-17
T00573,C0435,Delivery,Closed,2025-11-17
T00574,C0478,Product,Pending,
T00575,C0755,Account,Open,2025-11-17
T00576,C0035,Product,Pending,2025-11-17
T00577,C0202,Account,Pending,2025-11-17
T00578,C0216,Account,Pending,2025-11-17
T00579,C0134,Payment,Open,2025-11-17
T00580,,Account,Open,2025-11-17
T00581,C0555,,Closed,2025-11-17
T00582,C0873,Payment,Open,2025-11-17
T00583,C0974,Payment,Pending,2025-11-17
T00584,C0376,Payment,Closed,
T00585,C0983,Payment,Closed,2025-11-17
T00586,C0959,Payment,,2025-11-17
T00587,C0637,Account,Closed,2025-11-17
T00588,C0476,Product,Open,2025-11-17
T00589,C0890,Product,Closed,2025-11-17
T00590,C0038,Payment,Open,
T00591,C0808,Payment,Closed,2025-11-17
T00592,C0405,Payment,Open,2025-11-17
T00593,,Payment,Pending,2025-11-17
T00594,C1000,Delivery,Open,2025-11-17
T00595,C0348,Delivery,Open,2025-11-17
T00596,C0300,Delivery,Closed,2025-11-17
T00597,C0128,Product,Closed,2025-11-17
T00598,C0799,Payment,Pending,2025-11-17
T00599,C0578,Product,Closed,2025-11-17
,C0926,Delivery,Open,2025-11-17
T00601,C0189,Delivery,Closed,2025-11-17
T00602,C0426,Account,Pending,2025-11-17
,,Delivery,Open,2025-11-17
T00604,C0539,Account,Closed,2025-11-17
T00605,C0308,Delivery,Closed,2025-11-17
T00606,C0367,Delivery,Closed,2025-11-17
T00607,C0558,Payment,Open,
T00608,C0550,Product,Pending,2025-11-17
T00609,,Delivery,Open,
T00610,C0124,Payment,,
T00611,C0120,,Pending,2025-11-17
T00612,C0005,Delivery,Pending,2025-11-17
T00613,C0825,Delivery,Pending,2025-11-17
T00614,C0634,Product,Pending,
T00615,C0946,Delivery,Closed,2025-11-17
T00616,,Payment,Closed,2025-11-17
T00617,C0488,Delivery,Closed,2025-11-17
T00618,,Account,Open,2025-11-17
T00619,C0953,Delivery,Closed,2025-11-17
T00620,,Account,Pending,
T00621,C0801,Payment,Open,2025-11-17
T00622,C0178,Account,Open,2025-11-17
T00623,C0783,Account,Closed,2025-11-17
T00624,C0420,,,2025-11-17
T00625,C0992,Delivery,Open,2025-11-17
T00626,,Delivery,Open,2025-11-17
T00627,C0467,Payment,Open,2025-11-17
T00628,C0178,Product,Open,2025-11-17
T00629,,Delivery,Pending,
T00630,C0778,Delivery,,2025-11-17
T00631,C0578,Delivery,Pending,2025-11-17
T00632,C0557,Payment,Open,2025-11-17
T00633,C0151,Account,Closed,2025-11-17
T00634,C0750,Payment,Open,2025-11-17
T00635,C0377,Delivery,Closed,2025-11-17
,C0727,Product,Pending,2025-11-17
T00637,C0152,Payment,Open,
T00638,C0243,Delivery,Pending,2025-11-17
T00639,C0595,Payment,Pending,2025-11-17
T00640,C0519,Payment,Closed,2025-11-17
T00641,C0306,,Closed,2025-11-17
T00642,C0660,Delivery,Pending,2025-11-17
T00643,C0176,Delivery,Open,2025-11-17
T00644,C0033,Delivery,Open,2025-11-17
T00645,C0189,Delivery,Open,2025-11-17
T00646,C0457,Product,Closed,2025-11-17
T00647,C0273,Account,Open,2025-11-17
T00648,C0617,Delivery,Pending,2025-11-17
,C0062,Product,Open,2025-11-17
T00650,C0899,Product,Open,2025-11-17
T00651,C0526,Product,Pending,2025-11-17
T00652,C0498,Delivery,Open,2025-11-17
T00653,C0017,Delivery,Closed,2025-11-17
T00654,C0833,Delivery,Open,
,C0516,,Open,
T00656,C0982,Payment,Pending,2025-11-17
T00657,C0821,Product,Closed,2025-11-17
T00658,C0603,Delivery,Pending,2025-11-17
