event_id,customer_id,page,timestamp,action
E00045,C0836,Product,2025-07-14 01:59:57,view
E00046,C0020,Checkout,2025-06-29 22:08:02,click
E00047,C0280,Home,2025-03-11 09:01:08,add_to_cart
E00048,C0730,Home,2025-07-28 09:03:21,purchase
E00049,C0043,,2025-05-25 20:30:11,purchase
E00050,C0929,Product,2025-04-28 09:49:41,click
E00051,C0984,Product,2025-07-07 16:29:04,view
E00052,C0683,Checkout,2025-11-14 02:26:31,click
E00053,C0444,Product,2024-12-30 16:18:20,view
E00054,C0149,Search,2025-01-11 05:13:55,purchase
E00055,C0154,Search,2025-08-19 12:40:49,click
E00056,C0278,Search,2025-07-30 00:11:47,add_to_cart
E00057,C0689,Checkout,2025-09-04 14:12:20,purchase
E00058,C0626,Cart,2025-01-31 16:06:21,click
E00059,C0430,,2025-06-29 14:01:28,click
E00060,C0578,Search,2025-08-03 22:28:46,purchase
E00061,C0875,Home,2025-01-30 16:02:50,add_to_cart
E00062,C0581,Search,2025-01-06 19:35:56,click
E00063,C0810,Checkout,2024-12-04 00:20:41,view
E00064,C0423,Home,2025-03-12 10:46:32,add_to_cart
E00065,C0765,Product,2025-05-01 16:45:58,add_to_cart
E00066,C0425,Search,2025-09-11 00:08:23,click
E00067,C0884,Home,2025-07-27 13:14:28,purchase
E00068,C0672,Cart,2025-07-07 07:30:00,purchase
E00069,C0735,,2025-02-19 22:46:30,add_to_cart
E00070,,Product,2024-11-26 21:31:45,view
E00071,C0192,Product,2025-03-09 09:50:07,purchase
E00072,C0915,Search,2025-08-15 16:16:24,add_to_cart
E00073,C0378,Home,2025-04-10 01:25:42,add_to_cart
E00074,C0310,Cart,2025-09-14 03:59:13,add_to_cart
E00075,C0606,Checkout,2025-07-17 17:38:05,click
E00076,C0220,Cart,2025-10-30 00:29:53,add_to_cart
E00077,C0891,Checkout,2025-11-15 08:46:09,click
E00078,C0108,Checkout,2025-08-22 13:09:43,purchase
E00079,C0462,Product,2025-06-09 05:21:30,
E00080,C0376,Checkout,2025-11-08 21:11:32,click
E00081,C0845,Checkout,,purchase
E00082,C0525,Home,2025-06-02 00:29:58,add_to_cart
E00083,C0643,Search,2025-06-30 15:52:14,add_to_cart
E00084,C0667,Cart,2024-11-20 12:28:47,
E00085,C0855,Search,2025-04-20 12:40:41,add_to_cart
E00086,C0462,Cart,2025-03-04 18:03:26,add_to_cart
E00087,C0275,,2025-06-28 11:31:12,click
E00088,C0741,Cart,2025-01-26 05:17:33,add_to_cart
E00089,C0156,Home,2025-06-27 09:34:04,purchase
E00090,C0468,Cart,2024-11-21 17:40:38,view
E00091,C0207,Product,2025-02-26 10:40:12,view
E00092,C0079,Checkout,,purchase
E00093,C0237,Search,2025-06-20 00:41:54,purchase
E00094,C0908,Product,2025-06-16 14:01:56,view
E00095,C0428,Product,2025-07-17 16:14:10,click
E00096,C0136,Product,2025-02-14 12:18:58,view
E00097,C0187,Search,2025-09-17 00:07:29,
E00098,,Product,2024-12-05 07:56:39,purchase
E00099,C0266,Checkout,2024-12-16 11:04:25,purchase
E00100,C0658,Product,2025-09-04 16:29:36,click
E00101,C0427,Cart,2025-03-25 19:35:21,purchase
E00102,C0522,Cart,2025-04-14 04:20:06,view
E00103,C0467,Search,2025-01-20 23:05:09,click
E00104,C0604,Cart,2025-08-28 22:57:53,add_to_cart
E00105,C0285,Home,2025-03-26 22:16:34,purchase
E00106,C0657,Product,2025-09-19 17:12:48,purchase
E00107,C0730,Product,2025-02-06 23:18:33,click
E00108,C0409,Product,2025-08-13 21:34:11,view
E00109,C0003,Checkout,2025-08-24 14:02:05,click
E00110,C0330,Product,2024-12-05 19:03:10,
E00111,C0918,Search,2024-12-16 01:50:24,add_to_cart
E00112,C0894,Home,2025-07-20 20:41:30,add_to_cart
E00113,C0645,Cart,2024-11-18 17:09:37,add_to_cart
,C0210,Search,2025-02-26 11:48:07,purchase
E00115,C0493,Search,2025-02-18 12:34:34,
E00116,C0229,Home,2025-08-27 05:54:13,view
E00117,C0948,Checkout,,view
E00118,C0665,Product,,add_to_cart
E00119,C0649,Search,2025-05-05 15:46:58,purchase
E00120,C0733,Home,2024-12-16 06:33:22,purchase
E00121,C0450,Search,2025-05-14 15:07:43,
E00122,C0645,Cart,2025-07-24 03:29:32,click
E00123,C0383,Product,2025-05-07 21:55:47,add_to_cart
E00124,C0218,Product,2025-03-25 11:42:34,add_to_cart
E00125,C0778,Search,2024-11-24 00:01:35,add_to_cart
E00126,C0262,Cart,2025-09-25 07:11:56,view
E00127,C0702,Checkout,2025-10-11 17:04:04,view
E00128,C0288,Checkout,2025-09-13 02:42:48,add_to_cart
E00129,C0138,Search,2025-05-05 04:21:19,
E00130,C0741,Search,2025-05-29 15:33:32,add_to_cart
E00131,C0246,Home,2025-05-02 13:06:59,purchase
E00132,C0574,Product,2025-09-16 22:29:41,view
E00133,,Product,2024-12-01 19:49:31,view
E00134,C0652,Product,2025-05-14 17:24:28,purchase
E00135,C0402,Search,,click
E00136,C0738,Search,2025-03-07 06:26:49,add_to_cart
E00137,C0064,Cart,2025-08-05 00:38:41,click
E00138,C0376,Checkout,2025-08-21 19:02:32,add_to_cart
E00139,C0521,Checkout,2024-11-22 02:55:10,view
E00140,C0452,Checkout,2025-04-02 17:45:54,view
E00141,C0993,Checkout,2025-03-08 12:26:23,add_to_cart
E00142,C0767,Cart,2025-08-24 11:30:24,view
E00143,C0609,Cart,2025-07-14 20:14:33,click
E00144,C0923,Cart,2025-01-03 18:10:23,click
E00145,C0186,Home,,click
E00146,C0438,Cart,2025-02-24 19:19:10,add_to_cart
E00147,C0435,Cart,2025-02-17 23:46:23,view
E00148,C0051,Cart,2025-04-19 03:39:16,purchase
,C0500,Search,2025-08-23 03:42:24,view
E00150,C0465,Product,,add_to_cart
E00151,C0771,Checkout,2025-01-01 05:56:38,purchase
E00152,C0359,Search,2024-12-14 22:42:10,purchase
E00153,C0032,Cart,2025-11-16 03:09:24,add_to_cart
E00154,C0467,,2024-12-06 04:15:31,view
E00155,,Checkout,2025-11-16 13:31:29,purchase
,C0805,Cart,2025-05-16 22:17:49,add_to_cart
E00157,C0806,Home,2025-11-14 21:54:48,click
E00158,C0752,,2025-11-06 05:55:45,click
E00159,C0623,Cart,2025-09-19 06:46:03,click
E00160,C0742,Cart,2025-06-15 08:37:56,add_to_cart
E00161,C0985,Home,2025-03-17 14:07:15,purchase
E00162,C0151,Product,2025-06-19 08:56:28,add_to_cart
E00163,C0604,Product,2025-11-17 20:01:16,add_to_cart
E00164,C0455,Product,2024-12-26 19:58:23,view
E00165,C0971,Checkout,2025-03-21 10:25:36,click
E00166,C0573,Search,2025-07-10 20:34:15,add_to_cart
E00167,C0352,Checkout,2024-12-21 00:47:23,click
E00168,C0861,Cart,2025-07-12 19:16:12,click
E00169,C0156,Home,2025-03-28 02:47:24,add_to_cart
E00170,C0615,Home,2025-06-14 13:23:05,add_to_cart
E00171,C0372,Checkout,,click
E00172,C0064,Cart,2025-10-09 08:45:29,click
E00173,C0299,Product,2025-06-02 06:36:51,
E00174,C0610,Checkout,,purchase
E00175,C0085,Home,2025-08-16 05:03:58,click
E00176,C0529,Cart,2025-10-28 15:40:19,add_to_cart
E00177,C0509,Product,2025-08-31 08:00:16,view
E00178,C0097,Product,2025-11-01 07:16:45,click
E00179,C0038,Checkout,2025-06-08 15:56:49,view
E00180,C0127,Product,2025-09-23 08:46:00,click
E00181,C0907,Home,2025-09-15 15:28:51,purchase
E00182,C0057,Search,2024-12-21 20:13:03,
E00183,C0591,Product,2025-03-14 22:56:53,view
,C0626,Cart,2025-03-30 15:37:12,purchase
E00185,C0910,Product,2025-02-12 19:15:44,view
E00186,C0595,Home,2025-05-02 22:55:30,click
E00187,C0355,Cart,,view
E00188,C0883,Checkout,,click
E00189,C0700,,2025-06-01 00:05:46,click
E00190,C0131,Checkout,2025-09-13 01:37:04,add_to_cart
E00191,C0205,Search,2025-07-19 08:26:47,add_to_cart
E00192,C0633,Cart,2025-10-12 02:11:01,view
E00193,C0984,Cart,2025-03-27 01:16:48,purchase
E00194,C0173,Search,2025-07-14 00:05:06,purchase
E00195,C0568,Home,2025-04-06 18:21:36,add_to_cart
E00196,C0099,Product,2025-05-12 02:48:09,purchase
E00197,C0265,Checkout,2025-04-02 15:08:09,purchase
E00198,C0949,Product,2025-05-02 07:42:24,purchase
E00199,C0195,Search,2025-01-01 17:28:54,view
E00200,C0943,Checkout,2025-10-15 11:54:37,add_to_cart
E00201,C0162,Checkout,2025-02-22 22:38:52,add_to_cart
E00202,C0457,Home,2025-07-18 16:00:45,view
E00203,C0437,Product,2024-11-22 04:02:21,view
E00204,C0380,Checkout,2025-05-29 21:43:47,click
E00205,C0103,Search,2025-03-17 16:53:39,view
E00206,C0287,Checkout,2025-01-12 13:39:55,click
E00207,C0106,Product,2025-11-14 12:42:39,click
E00208,C0154,Home,2024-12-21 14:44:08,add_to_cart
E00209,C0276,Product,2025-10-10 19:01:42,add_to_cart
E00210,C0187,Cart,2025-07-08 04:36:50,add_to_cart
E00211,C0226,Cart,2025-06-23 19:40:47,add_to_cart
E00212,C0472,Cart,2025-08-08 20:00:59,purchase
E00213,C0172,Cart,2025-07-01 11:34:26,purchase
E00214,C0352,Checkout,2025-02-15 22:50:28,view
E00215,C0639,Product,2024-12-01 03:02:41,click
,C0253,Product,2025-06-19 04:36:35,add_to_cart
E00217,C0226,Search,2025-01-27 10:10:58,add_to_cart
E00218,C0301,Checkout,2024-12-20 13:33:37,click
E00219,C0179,Home,2024-12-19 07:48:08,purchase
E00220,C0354,Product,2025-11-13 16:40:30,view
E00221,C0173,Cart,2025-06-28 11:11:12,click
E00222,C0410,Search,2025-10-11 18:52:50,view
,C0828,Product,2025-10-06 13:39:31,view
E00224,C0310,Home,2025-09-23 20:05:32,view
E00225,C0824,Home,2025-04-21 01:41:29,purchase
E00226,C0735,Home,2025-10-20 10:57:33,purchase
E00227,C0678,Home,2025-03-24 13:36:00,
E00228,C0135,Home,2024-12-27 01:48:35,click
E00229,C0851,Search,2025-11-15 06:50:31,click
E00230,C0178,Product,2025-04-27 03:52:52,purchase
E00231,C0562,Product,2025-05-01 09:01:02,view
E00232,C0749,Cart,,add_to_cart
E00233,C0544,Product,2025-07-03 19:01:31,purchase
E00234,C0429,Product,2025-04-14 21:31:31,view
E00235,C0619,Checkout,2025-02-13 20:10:02,purchase
E00236,C0969,Search,2025-10-11 08:40:11,view
E00237,C0356,Cart,2025-01-27 16:28:16,purchase
E00238,C0330,Home,2024-12-10 12:47:57,purchase
,C0307,Home,2025-06-16 06:49:39,click
E00240,C0930,Home,2025-06-06 19:53:34,view
E00241,C0454,Checkout,2025-06-02 06:52:03,view
E00242,C0017,Search,2025-03-30 21:53:58,click
E00243,C0545,Product,2025-11-05 06:26:15,click
E00244,C0961,Search,2025-05-30 00:51:43,add_to_cart
E00245,,Home,2025-04-20 10:55:38,click
E00246,C0534,Checkout,2025-01-05 08:15:28,view
E00247,C0122,Home,,
E00248,C0100,,2025-07-01 04:42:47,
E00249,C0327,Checkout,2025-06-28 09:23:50,click
E00250,,Cart,2025-11-18 01:12:37,click
E00251,C0566,Search,2025-03-17 22:33:23,purchase
E00252,C0595,Home,2025-07-24 22:37:27,click
E00253,C0180,Product,2025-09-29 18:24:07,view
E00254,C0852,Product,2025-11-14 16:19:19,view
E00255,C0777,,2025-08-07 07:59:20,click
E00256,C0645,Product,2025-09-06 11:57:37,view
E00257,C0391,Product,2025-04-12 21:59:57,add_to_cart
E00258,C0782,Home,2025-08-08 20:12:28,click
E00259,C0058,Product,2025-04-22 21:37:14,purchase
E00260,C0214,Product,2025-02-07 14:55:18,click
E00261,C0325,Search,2025-02-11 08:15:43,view
E00262,C0917,Product,2025-02-28 07:39:20,click
E00263,C0019,Search,2025-10-11 11:54:33,click
E00264,C0010,Product,2025-09-04 11:33:37,
E00265,C0505,Search,2024-12-10 06:44:13,click
E00266,C0500,Cart,2025-02-27 23:17:18,purchase
E00267,C0470,Search,2025-04-22 15:20:28,add_to_cart
E00268,C0077,Home,2025-03-06 09:46:19,add_to_cart
E00269,C0161,Checkout,2025-01-06 05:57:42,
E00270,C0380,Product,2025-06-02 21:53:07,add_to_cart
E00271,C0553,Cart,2024-11-28 12:43:22,click
,C0622,Search,2025-02-03 12:59:23,add_to_cart
E00273,C0405,Product,2025-02-13 13:20:24,click
E00274,C0166,Checkout,2025-09-03 13:35:31,purchase
E00275,C0908,Cart,2025-07-16 12:08:23,purchase
E00276,C0178,Checkout,2025-08-21 17:42:53,click
E00277,C0652,Checkout,2025-11-13 01:25:21,add_to_cart
E00278,C0565,Checkout,2025-06-10 06:14:30,
E00279,C0218,Home,2025-08-29 19:02:35,click
E00280,C0406,Cart,2025-06-03 04:47:11,purchase
E00281,C0378,Checkout,2025-10-02 06:37:57,add_to_cart
E00282,C0885,Product,2025-01-05 23:53:10,purchase
E00283,C0846,Home,2025-10-03 06:03:35,add_to_cart
E00284,C0862,Cart,2025-01-30 01:41:41,add_to_cart
E00285,C0393,Product,2025-05-31 04:39:10,click
E00286,C0013,Cart,2025-10-19 00:45:28,click
E00287,C0551,Search,2025-08-04 22:08:29,purchase
E00288,C0580,Product,2025-04-25 13:10:16,click
E00289,C0519,Checkout,2025-05-05 06:07:06,purchase
E00290,C0218,Product,2025-02-03 17:31:04,
E00291,C0918,Product,2025-09-21 12:41:25,add_to_cart
E00292,C0612,,2025-05-26 09:42:56,add_to_cart
E00293,C0789,Search,2025-11-08 16:21:45,add_to_cart
E00294,C0869,Checkout,2025-08-29 15:29:03,add_to_cart
E00295,C0929,Cart,2025-06-23 01:03:23,view
E00296,C0907,Home,2025-07-20 07:34:49,purchase
E00297,C0176,Search,2025-02-13 16:38:39,view
E00298,C0206,Product,2025-10-30 20:35:39,purchase
E00299,C0796,Cart,2025-07-05 10:08:05,purchase
E00300,C0076,Product,2025-07-09 14:59:11,click
E00301,C0336,Checkout,2025-10-02 13:10:28,purchase
E00302,C0121,Search,2025-01-05 00:48:45,
E00303,C0433,Product,2025-02-07 15:21:13,add_to_cart
E00304,C0194,Product,2025-01-17 21:55:56,purchase
E00305,,Home,2024-12-20 19:47:29,click
E00306,C0621,Search,2025-03-08 00:37:45,purchase
E00307,C0775,Product,2025-03-02 18:37:29,click
E00308,C0659,Home,2025-10-10 13:46:13,purchase
E00309,C0277,Product,2024-12-18 07:02:31,view
E00310,C0618,Checkout,2025-09-11 10:24:14,add_to_cart
E00311,C0688,Search,2024-12-22 20:04:48,add_to_cart
E00312,C0105,Checkout,2025-04-29 00:59:49,view
E00313,C0519,Home,2025-04-05 01:45:31,add_to_cart
E00314,C0097,Cart,2025-05-02 03:02:42,purchase
E00315,,Cart,2025-10-29 22:06:27,click
E00316,,Home,2025-06-07 11:27:29,view
E00317,C0631,Checkout,2025-03-19 03:13:09,purchase
E00318,C0753,Product,2025-05-15 18:27:09,purchase
E00319,C0901,Product,2025-01-31 10:11:27,view
E00320,C0808,Cart,2025-02-12 04:40:00,purchase
E00321,C0418,Cart,2025-09-08 09:17:51,click
E00322,C0220,Search,2025-01-08 05:49:21,view
E00323,C0624,Cart,2025-02-02 09:53:18,purchase
E00324,C0016,Search,2025-10-16 19:16:51,click
,C0360,Checkout,2025-04-15 22:10:10,
E00326,C0046,Search,2025-03-20 00:41:10,view
E00327,C0342,Home,,add_to_cart
E00328,C0688,,2025-06-27 06:42:09,click
E00329,C0726,Search,2025-07-06 12:18:38,view
E00330,,Search,2025-05-09 00:43:33,view
E00331,C0998,Home,2025-07-18 22:04:55,click
E00332,C0726,Checkout,2025-01-22 14:56:17,view
E00333,C0193,Checkout,2025-11-16 07:41:14,click
E00334,C0675,,2025-09-03 14:06:36,view
E00335,C0722,Cart,2025-07-01 03:59:57,view
E00336,C0833,Search,2025-05-04 07:07:11,view
E00337,C0795,Checkout,2025-11-11 06:23:21,add_to_cart
E00338,C0091,Search,2025-07-25 18:41:09,click
E00339,C0429,Product,2025-03-25 07:42:41,add_to_cart
E00340,C0213,Checkout,2025-08-09 19:44:03,click
E00341,C0176,Search,,purchase
E00342,C0048,Cart,2025-07-20 16:53:24,add_to_cart
E00343,C0709,,2025-07-11 02:06:49,view
E00344,C0023,Checkout,,add_to_cart
E00345,C0621,Cart,2025-05-19 19:06:15,add_to_cart
E00346,C0542,Cart,2025-11-07 20:50:42,purchase
E00347,C0031,Cart,,view
E00348,C0992,Home,2025-08-22 06:33:44,view
E00349,C0021,Cart,2025-01-31 04:45:08,add_to_cart
E00350,C0906,Product,2025-09-05 09:55:55,add_to_cart
E00351,C0461,Checkout,2025-02-10 01:21:32,view
E00352,C0207,Cart,2025-07-16 03:13:02,purchase
E00353,C0735,Product,2025-04-12 23:56:09,view
E00354,C0512,Checkout,2025-07-10 03:27:04,add_to_cart
E00355,C0081,Checkout,2025-07-17 19:17:00,add_to_cart
E00356,C0716,Search,2025-09-12 18:17:02,add_to_cart
E00357,C0972,Checkout,2025-03-20 08:44:43,click
E00358,C0949,Home,2025-05-25 17:59:43,view
E00359,,Home,2025-10-22 07:21:50,add_to_cart
E00360,C0593,Checkout,2025-06-24 04:57:35,click
E00361,C0180,Cart,2025-07-08 01:14:46,add_to_cart
E00362,C0075,Product,2025-01-29 15:42:08,add_to_cart
E00363,C0188,Search,2025-09-24 06:26:17,view
E00364,C0063,Product,2024-12-29 06:39:17,click
E00365,C0902,Search,2025-01-26 04:49:18,view
E00366,C0768,Search,2025-08-01 02:57:11,click
E00367,C0107,Home,2025-02-28 20:10:52,view
E00368,C0595,Home,2025-04-04 01:08:47,click
E00369,C0576,Cart,2024-12-31 02:11:40,add_to_cart
E00370,C0963,Checkout,2025-09-04 15:51:03,purchase
E00371,C0099,Product,2025-05-07 18:31:31,view
E00372,C0685,Product,2025-07-03 00:21:22,click
E00373,C0376,Home,2025-11-04 19:27:11,add_to_cart
E00374,C0225,Cart,2024-12-24 01:59:18,add_to_cart
E00375,C0977,Product,2025-09-05 11:10:58,purchase
,C0734,Checkout,2025-10-23 16:23:52,add_to_cart
E00377,C0390,Cart,2025-08-30 05:51:51,
E00378,C0817,Product,2025-08-17 14:41:01,purchase
E00379,C0079,Product,2024-12-15 11:12:43,view
E00380,C0665,Checkout,2025-03-18 06:10:07,add_to_cart
E00381,C0104,Cart,2025-01-13 06:59:16,purchase
E00382,C0607,Home,2025-09-18 04:53:00,purchase
E00383,C0895,Checkout,2024-11-30 23:14:40,purchase
E00384,C0663,Product,2025-07-29 07:10:02,add_to_cart
E00385,C0333,Search,2025-11-16 07:23:02,
E00386,C0802,Home,2025-03-24 11:42:43,view
E00387,C0969,Home,,
E00388,C0364,Home,2025-05-17 09:35:20,view
E00389,C0122,Checkout,2025-09-05 01:51:16,view
E00390,C0812,Product,2024-12-09 12:29:33,purchase
E00391,C0245,Checkout,2025-10-29 08:20:32,view
E00392,C0782,Cart,2025-07-18 11:04:32,click
E00393,C0074,Home,2025-01-16 21:48:49,purchase
E00394,C0576,Product,2025-04-29 03:16:29,view
E00395,C0708,,2025-02-25 06:05:21,click
E00396,C0360,Home,2024-12-13 22:11:58,view
E00397,C0741,Search,2025-01-21 18:25:48,view
E00398,C0466,Checkout,2025-08-14 22:06:50,purchase
E00399,C0100,Home,2025-09-02 02:05:27,click
E00400,C0095,Cart,2025-01-21 15:04:55,purchase
E00401,C0183,Home,2025-06-04 09:12:43,view
E00402,C0132,Checkout,2025-08-19 15:46:24,view
E00403,C0843,Home,2025-03-10 19:39:07,
E00404,C0552,Product,,add_to_cart
E00405,C0891,Cart,2025-09-12 23:44:32,purchase
E00406,C0775,Product,2025-11-15 22:10:49,purchase
E00407,C0371,Checkout,2025-06-15 05:46:32,view
,C0459,Checkout,2025-08-21 11:13:43,click
E00409,C0302,Product,2025-07-24 20:52:05,purchase
E00410,C0794,Search,2025-11-06 16:29:18,view
E00411,C0434,Search,2025-10-08 10:27:48,click
E00412,C0609,Product,2025-03-08 20:23:07,click
E00413,C0934,Search,2025-01-21 08:49:36,add_to_cart
E00414,C0182,Checkout,2025-02-08 00:11:47,click
E00415,C0412,Checkout,2025-03-13 05:01:56,click
E00416,C0291,Product,2024-12-08 19:23:40,view
E00417,C0046,,2025-01-03 18:55:42,add_to_cart
E00418,C0013,Checkout,2025-03-22 22:50:51,add_to_cart
E00419,,Cart,2025-07-20 18:10:38,view
E00420,C0572,Search,2025-05-15 13:24:08,purchase
E00421,C0489,Search,2025-03-16 12:10:25,purchase
,C0860,Checkout,2025-03-30 00:54:35,purchase
E00423,C0817,Product,2025-05-29 16:09:32,click
E00424,C0409,Product,2025-02-14 01:12:26,purchase
E00425,C0956,Home,2025-03-03 20:00:43,
E00426,C0108,Cart,2025-06-04 07:12:00,click
E00427,C0550,,2025-08-31 16:49:54,add_to_cart
E00428,C0445,Home,2025-06-18 08:58:05,purchase
E00429,C0869,Product,2025-06-08 00:10:31,add_to_cart
E00430,C0345,Cart,,view
E00431,C0518,Cart,2025-05-21 10:03:22,view
E00432,C0911,Cart,2025-02-26 18:52:05,click
E00433,C0038,Checkout,2025-03-05 15:19:25,purchase
,C0485,Cart,2025-04-16 21:58:39,add_to_cart
E00435,C0029,Home,2025-09-07 22:25:01,purchase
E00436,C0191,,2025-08-25 20:58:42,click
E00437,C0498,Checkout,2025-07-28 12:59:33,add_to_cart
E00438,C0958,Search,2025-02-25 16:02:56,add_to_cart
E00439,C0966,Product,2025-05-01 20:52:40,click
E00440,C0990,Checkout,2025-09-22 20:11:57,purchase
E00441,C0400,Search,2025-04-12 11:29:05,click
E00442,C0837,Product,2025-03-13 17:12:23,click
E00443,C0354,Cart,2025-03-29 05:14:34,click
E00444,C0092,Home,2025-09-16 19:46:05,view
,C0339,Home,2025-03-20 04:50:58,view
E00446,C0541,Home,2025-03-19 06:44:28,click
E00447,C0341,Cart,2025-11-08 15:37:49,purchase
E00448,C0355,Search,2025-06-14 14:29:14,add_to_cart
E00449,C0406,,2025-05-04 09:36:23,add_to_cart
E00450,C0292,Checkout,2025-05-07 14:47:35,click
E00451,C0523,Search,2025-04-08 22:22:47,view
E00452,C0951,Home,2025-08-26 09:43:45,add_to_cart
E00453,C0146,Home,,purchase
E00454,C0900,Product,2025-11-15 02:54:20,purchase
E00455,C0735,Cart,2025-07-26 05:05:49,view
E00456,C0260,Product,2025-05-17 07:34:32,click
E00457,C0769,Cart,2025-06-12 12:07:55,view
E00458,C0905,Search,2025-06-22 11:01:05,add_to_cart
E00459,C0253,Home,2025-01-13 02:40:02,purchase
E00460,C0208,Checkout,2025-04-02 20:04:01,add_to_cart
E00461,C0036,Checkout,2025-01-02 10:29:30,click
E00462,C0849,Cart,2025-03-03 05:32:55,view
E00463,C0104,Checkout,2025-04-03 06:37:01,add_to_cart
,C0301,Cart,2025-10-16 15:14:38,purchase
E00465,C0974,Checkout,2025-07-01 21:38:25,click
E00466,C0256,Product,2025-04-02 01:19:53,view
E00467,C0996,Cart,2024-12-07 22:36:51,view
E00468,C0808,Cart,2025-09-27 21:35:02,click
E00469,C0938,Home,2025-07-18 16:10:53,view
E00470,C0601,Home,2025-09-03 20:16:07,click
E00471,C0165,Cart,2025-10-09 03:06:19,purchase
E00472,C0929,Home,2025-11-10 23:57:19,click
E00473,C0438,Search,2025-02-27 15:20:32,add_to_cart
E00474,C0006,Product,2024-12-19 08:32:35,click
,C0600,Checkout,2025-01-17 12:46:38,purchase
E00476,C0727,Home,2025-06-20 19:58:42,view
E00477,C0073,Cart,2025-10-22 03:34:01,click
E00478,C0923,Product,2025-04-28 03:58:41,purchase
E00479,C0449,Search,2025-08-12 17:59:25,add_to_cart
E00480,C0363,Cart,2024-12-08 06:33:43,add_to_cart
E00481,C0123,Home,2025-10-14 05:40:32,click
E00482,C0086,Checkout,2025-04-24 06:16:13,click
E00483,C0933,Home,2025-02-22 18:11:57,add_to_cart
E00484,C0901,Home,2025-08-28 23:15:10,add_to_cart
E00485,,Home,2025-06-30 06:09:08,view
E00486,C0393,Search,2025-09-13 13:17:07,add_to_cart
E00487,C0203,Checkout,2025-02-03 04:28:45,view
E00488,C0867,Checkout,2025-02-16 00:46:25,purchase
E00489,C0804,Checkout,2025-04-01 20:58:43,click
E00490,C0122,Cart,,add_to_cart
E00491,C0587,Cart,2025-07-15 21:11:26,
E00492,C0766,Home,2025-04-12 16:47:16,purchase
E00493,C0130,Search,2025-11-05 20:14:29,add_to_cart
E00494,C0290,Cart,2025-10-16 01:59:11,purchase
E00495,C0211,Home,2025-07-06 14:07:32,click
E00496,C0613,Product,2025-06-20 16:23:41,view
E00497,C0450,Home,,view
E00498,C0091,,2025-04-29 03:44:44,purchase
E00499,C0172,Search,2025-03-21 23:47:43,add_to_cart
E00500,C0286,Home,2025-09-17 09:03:22,add_to_cart
E00501,C0036,Home,2025-08-12 01:52:50,add_to_cart
E00502,C0744,Search,2024-12-30 23:57:06,add_to_cart
E00503,C0145,Checkout,2024-12-02 06:41:35,click
E00504,C0663,Product,2025-01-30 09:50:03,click
E00505,C0696,Checkout,2025-08-07 10:16:03,click
E00506,C0971,Checkout,2024-12-12 03:57:15,view
E00507,C0083,Cart,2024-11-18 11:30:48,view
,C0988,Checkout,,click
,C0923,Search,2025-05-10 01:59:49,purchase
E00510,C0252,Search,2025-01-22 12:46:40,add_to_cart
E00511,C0686,Checkout,2024-12-07 13:26:25,purchase
E00512,C0503,Home,2024-12-12 15:17:32,purchase
